ssn,first_name,last_name,email,gender,address,income,birth_date
267-97-0060,Bradford,Mulvenna,bmulvenna0@comcast.net,Male,6762 Eliot Avenue,$180966.20,10/21/1974
233-23-0496,Lucia,Costard,lcostard1@macromedia.com,Female,974 Bonner Court,$153285.14,5/4/1983
717-16-1913,Tomi,Butler,tbutler2@dyndns.org,Female,02953 Mosinee Pass,$363385.16,8/10/1968
399-14-8005,Christiane,Tunnicliff,ctunnicliff3@jalbum.net,Female,14838 Bultman Hill,$130531.56,11/20/1962
755-04-6331,William,Smissen,wsmissen4@biglobe.ne.jp,Male,483 6th Plaza,$176567.84,11/15/1976
802-82-5667,Arte,Firsby,afirsby5@myspace.com,Male,758 Dapin Center,$346644.05,1/7/1943
615-78-5402,Ashley,Redemile,aredemile6@tripod.com,Male,554 Springs Place,$238508.98,9/24/1989
674-04-5649,Twyla,Markson,tmarkson7@shop-pro.jp,Female,9 Carberry Hill,$368727.04,3/22/1953
701-04-8401,Beaufort,Finnemore,bfinnemore8@plala.or.jp,Male,5103 Russell Lane,$127514.61,5/5/1971
118-50-1765,Patrizius,Pierse,ppierse9@eventbrite.com,Male,323 Arkansas Parkway,$143616.14,4/21/1992
320-85-0330,Nike,Tokley,ntokleya@jalbum.net,Female,74302 Sundown Street,$395863.65,3/16/1983
859-61-0306,Eunice,Diggle,ediggleb@cmu.edu,Female,49504 Dennis Park,$277630.38,2/12/1944
686-99-9552,Adan,Carleman,acarlemanc@seattletimes.com,Female,5331 Green Parkway,$339055.62,4/15/1974
532-62-3088,Tyrus,Irnis,tirnisd@princeton.edu,Male,0 Debra Way,$198293.86,3/8/1961
621-03-9018,Lilia,Caswill,lcaswille@hatena.ne.jp,Female,552 Shoshone Park,$81277.78,8/9/1940
472-40-8936,Ric,Lickorish,rlickorishf@cdbaby.com,Male,5 Steensland Avenue,$249927.92,11/18/1940
735-52-6775,Tyrone,Dabnot,tdabnotg@java.com,Male,59 Eagle Crest Street,$355597.45,3/15/1979
745-81-8605,Ellen,Boulden,ebouldenh@desdev.cn,Female,6591 Novick Crossing,$69616.49,9/18/1949
271-21-5034,Karlotta,Starrs,kstarrsi@businessweek.com,Female,95 Oak Valley Trail,$117371.61,6/30/1978
414-83-1162,Marcelo,de Courcey,mdecourceyj@pcworld.com,Male,4878 Jenna Road,$269648.22,7/4/1953
737-54-5725,Kennith,Dommersen,kdommersenk@woothemes.com,Male,81 Tennessee Crossing,$239458.34,4/27/1982
688-43-5774,Jilleen,Wallentin,jwallentinl@answers.com,Female,7 Rockefeller Park,$308772.42,5/12/1957
633-07-5459,Sibbie,Robertacci,srobertaccim@youtube.com,Female,61288 Loeprich Center,$200507.21,7/26/1956
175-88-5098,Ray,Baldick,rbaldickn@tripod.com,Male,955 Melvin Crossing,$267875.08,9/21/1941
885-88-6067,Rene,Lutwidge,rlutwidgeo@state.tx.us,Male,76 Center Junction,$290877.76,11/1/1957
668-65-3022,Krista,Szymaniak,kszymaniakp@epa.gov,Female,84872 Basil Center,$101564.24,1/7/1985
169-94-4194,Vivyan,Mansion,vmansionq@sun.com,Female,11 Jenifer Avenue,$8316.29,5/18/1968
781-48-1417,Ramsey,Sherwood,rsherwoodr@google.com.br,Male,220 Green Ridge Alley,$331385.54,7/20/1968
182-79-6268,Yettie,Mourant,ymourants@stanford.edu,Female,17802 Lerdahl Street,$80592.17,1/26/1980
673-20-8260,Dov,Dilon,ddilont@reverbnation.com,Male,54482 Carpenter Trail,$315833.81,1/14/1963
227-08-9195,Ulrica,Pepon,upeponu@wikia.com,Female,59 Starling Plaza,$110938.97,12/29/1987
548-86-8029,Brucie,Whitecross,bwhitecrossv@liveinternet.ru,Male,8809 Lakeland Way,$81583.73,8/29/1974
898-05-3408,Isabelita,Anthill,ianthillw@usda.gov,Female,72158 Monterey Alley,$307116.40,12/29/1980
888-88-9849,Grayce,Varlow,gvarlowx@naver.com,Female,53689 Browning Pass,$169119.61,6/10/1964
870-46-5439,Olva,Dagnan,odagnany@ehow.com,Female,6 Amoth Place,$97034.09,8/25/1949
