Fodselsnummer,Epost,Inntekt,Formue
C79D1004-A72D-1817-20B2-D0F69E787953,ante@semperNam.net,"11,889Kr","83,697Kr"
F6D8551C-F600-5125-3AFD-47860BB9A20A,magna@luctussitamet.org,"43,286Kr","1,936Kr"
4E8BE468-F899-27C1-B0DE-CA1D874A7B9B,Aliquam.vulputate@Mauris.co.uk,"41,214Kr","4,991Kr"
2B4A2849-4D5D-FC55-96AF-F88022CDB64D,sit.amet.ultricies@malesuadavel.org,"90,169Kr","09,171Kr"
E31E64A3-F18D-2146-2148-B8B584413FB1,est.ac.facilisis@nequevenenatislacus.ca,"33,045Kr","68,810Kr"
3C5B1AD4-A96C-6658-12AE-89DED482F932,eget.volutpat@Aliquamultricesiaculis.edu,"72,672Kr","07,008Kr"
86A5B28A-CBC2-4B97-755C-6F7FFB93A2E2,mauris.sit@magnaDuisdignissim.net,"43,436Kr","27,377Kr"
E2EED817-B095-92A4-39C0-561C9AB19508,natoque.penatibus.et@metusAeneansed.co.uk,"79,924Kr","50,048Kr"
8DE18A32-03A8-31DB-9AE1-262B9875A473,facilisis.lorem.tristique@magna.edu,"52,725Kr","67,739Kr"
F7F907FB-B7EE-E29F-A706-FA591FC37177,massa@iaculisenim.com,"49,222Kr","96,845Kr"
FA20AE32-FB98-2A11-A5C1-757C8BB201BF,facilisis.facilisis.magna@rutrum.ca,"83,514Kr","46,749Kr"
17FDFB91-BADB-6ACC-6052-F7623C6A6838,varius@egetmetus.ca,"87,637Kr","38,504Kr"
994D5B7C-3B43-DA2C-9463-3C4CE1C04F2E,lorem@sem.edu,"79,037Kr","64,182Kr"
BBE9DBA2-BC05-2C43-008F-10BBB4FA37CF,ipsum@maurisSuspendissealiquet.edu,"15,303Kr","73,185Kr"
EDA92A35-1055-BD62-0A4F-FC1186354443,Sed@Aeneanegetmetus.co.uk,"27,206Kr","32,461Kr"
0EF2765D-AA1D-CFA0-8AA2-B9176854981A,egestas.blandit.Nam@libero.co.uk,"06,143Kr","73,740Kr"
0CA732D7-C597-CA3B-1673-252A3D392712,volutpat.Nulla@in.ca,"02,510Kr","01,503Kr"
29A66EF9-51C9-D70C-FE7D-6A791DCEA3DC,Quisque@Phasellusdolorelit.co.uk,"93,184Kr","57,312Kr"
A03310FF-B2D8-F5B3-BD06-09A18EF8144C,lobortis.quis.pede@montes.net,"33,262Kr","81,708Kr"
E47726F4-B40F-CF55-EB90-F528C7C0D76B,egestas@iaculisquis.org,"18,496Kr","92,469Kr"
7593D54A-DA68-896C-CAC3-EB62FF501818,lobortis@Sed.edu,"53,556Kr","92,940Kr"
8C78CC8D-4A63-42E4-351F-174745AB200A,nunc@eratvolutpatNulla.com,"56,058Kr","96,826Kr"
889DD380-39A1-1DA5-92EE-FB8057558970,laoreet@Pellentesque.edu,"30,807Kr","99,412Kr"
19671BD9-54A8-5889-F810-391CD9D20E81,dignissim@quamelementum.org,"18,707Kr","53,314Kr"
47921751-5D3D-CC77-3A8F-700D1A3B598A,facilisis.facilisis@felisullamcorperviverra.net,"37,031Kr","80,630Kr"
C73E2797-0211-4E4D-F8CF-F8B3CEBBA316,mollis.lectus@duiFuscealiquam.org,"39,539Kr","67,689Kr"
7EE4D9F7-D0E7-5341-29E3-FD830A7C9A60,ac@ametloremsemper.net,"13,736Kr","79,319Kr"
8F599C52-7C30-1861-D5D2-21D3A96C4DED,turpis@magnaPhasellusdolor.edu,"89,016Kr","2,959Kr"
B2A5B020-E1DA-5406-19EB-576B63DBD228,ornare@Morbisit.org,"89,750Kr","17,219Kr"
461B9E66-09F5-6D44-E401-2794E78E4748,tincidunt@nonleoVivamus.org,"60,770Kr","71,860Kr"
74B5C440-B998-FE04-9EAE-B597691BAD22,non.feugiat@ipsum.org,"98,833Kr","14,723Kr"
A87029BC-6DF8-B77E-36C8-F3D6976EB5F5,auctor@accumsan.edu,"48,171Kr","23,995Kr"
7E415A00-006E-7BE8-CB0B-715B9E27325B,euismod.et@Quisque.co.uk,"37,027Kr","98,041Kr"
05E94018-3634-F0A3-E17C-DA26A1B60B90,Donec@necurnaet.com,"13,874Kr","38,951Kr"
70121C81-7228-BCE4-8C19-D2AFEF0ACD53,ultricies@iaculislacuspede.net,"91,849Kr","24,764Kr"
3CC1CCC8-A2C8-927C-0871-BADBCE3BF573,Nunc.ac@vulputate.net,"28,267Kr","44,000Kr"
C7A95E45-4C87-0E61-0EC5-2F49AF1D1ACD,in.tempus@magna.co.uk,"94,002Kr","53,325Kr"
5C4FB5DD-FAB1-1288-E346-86FAF9D7F614,aliquam@maurissagittis.ca,"55,078Kr","00,608Kr"
1EB17986-FAB2-0F1B-1D7D-54BF9172C63D,nisi.dictum@dictummi.edu,"33,494Kr","29,958Kr"
09602874-4E72-360F-F718-8F4AC18ACD6C,commodo.at.libero@pedeultricesa.net,"23,179Kr","28,481Kr"
68729FD5-D323-0FB5-48F7-DAE9734BA881,aptent.taciti.sociosqu@luctusut.net,"83,441Kr","95,585Kr"
3CBA006B-8FC9-FF3F-02D4-4D86A1DFAB2D,natoque.penatibus@lacusvarius.com,"31,190Kr","20,443Kr"
B8D23EF2-9A56-23FA-1DD8-BD98CD6B300F,ipsum.dolor.sit@necante.com,"12,131Kr","74,302Kr"
2AEE84AB-5BAE-8BA5-C9A7-D7453CDD2F25,non.justo@risusDonec.org,"7,942Kr","42,758Kr"
ACFD9DAB-DD07-D4A2-38DD-15068775AF04,In@vehicula.net,"96,579Kr","30,646Kr"
D6E6E5C8-5DD0-E06C-D687-8CFDBA621CAF,massa.Mauris@malesuadafringilla.ca,"75,794Kr","16,688Kr"
0C7B6ED8-B88E-1E0F-0A30-28EB3815CEEC,mollis.non@ultrices.ca,"61,725Kr","31,010Kr"
BF6E7834-6211-893C-FDCD-FADF8C01E1C9,sagittis@quis.net,"15,016Kr","31,759Kr"
A242F44D-6077-30FF-CC1A-B503C4A1405E,amet.ornare@lorem.com,"23,018Kr","22,612Kr"
0F8D32E7-3466-F88E-E844-01E9E7D83BD3,pede@laoreetipsumCurabitur.com,"94,325Kr","66,227Kr"
85E6DBF0-7D41-350C-568A-2AE6609A70FF,aptent@velest.com,"58,685Kr","16,526Kr"
A5B1BCB6-3B53-23A5-C0AC-32EA00C49713,Mauris@placeratorci.net,"11,083Kr","23,330Kr"
1E82E567-C7B9-401C-109D-48BC3FFDDFCF,Donec@necleoMorbi.co.uk,"93,939Kr","94,280Kr"
1A349327-2E6F-37BD-EF3D-E30E5F078EEA,aliquam@eratin.org,"68,455Kr","23,044Kr"
630C303B-E257-549A-6325-3A8AD80FC413,Duis.gravida@Vestibulum.edu,"74,576Kr","94,104Kr"
2720F3FC-70FF-2FB4-2348-0C33DAB12A95,ut.quam@variuset.org,"88,906Kr","14,434Kr"
DA9A45C7-F5D0-131F-8E5F-AB86D5426B83,volutpat.ornare.facilisis@eleifend.org,"71,909Kr","67,455Kr"
33608B3F-7B3E-D2A3-DD9F-EF1173ECBACE,montes.nascetur.ridiculus@Donecvitae.edu,"75,305Kr","57,966Kr"
89CFDAC8-4873-B6AB-8016-A6066FF287D0,magna.Lorem@molestiearcu.ca,"27,234Kr","83,936Kr"
557B46ED-EBE0-5E09-B821-8F2D6FBDD0E2,adipiscing.non.luctus@lobortisClassaptent.edu,"90,355Kr","96,720Kr"
82AE16BF-6A1B-005C-CC84-141417460439,gravida.nunc.sed@sapiengravida.net,"92,475Kr","51,583Kr"
7BF933F3-83CF-1486-7035-AB348EA215D8,aliquet.metus@ultricies.net,"38,405Kr","14,727Kr"
B9037A69-0311-1352-5DC9-25FB6CB8D248,est@malesuada.net,"74,577Kr","12,968Kr"
B102ECBB-F03B-4FF3-2C37-B4FEA96DF73B,posuere.cubilia@egetodio.org,"95,105Kr","52,371Kr"
90049629-E548-A20C-C4C6-C84337DADEC7,orci.adipiscing@necenim.edu,"87,100Kr","18,580Kr"
F1E38CD5-BADA-884B-66E9-E87732E29AD9,sollicitudin.commodo@Loremipsum.net,"82,407Kr","65,411Kr"
F8E2AC54-72D3-E977-42A9-A86AAF0361A5,magna.Duis@Duisat.org,"08,937Kr","74,083Kr"
59304218-822E-BC7F-2570-6D26CBD07FDD,nonummy.Fusce@egetmetusIn.net,"97,613Kr","69,361Kr"
2A6E53FD-2CAB-C79F-6EB7-764B81316B08,sagittis.placerat@dis.co.uk,"46,825Kr","11,285Kr"
1D49F7B5-3CD9-345D-AEBD-15CC8CE97728,Aliquam@Namligulaelit.ca,"75,511Kr","93,930Kr"
B0D3CCD3-30B9-6DE5-B875-F22A2D014420,fringilla.porttitor@molestiein.edu,"31,284Kr","48,989Kr"
F71AAEBC-2FF2-3F64-C88D-A8726F0FF6EF,Ut.tincidunt.orci@eu.co.uk,"55,042Kr","82,443Kr"
C6035035-7155-1FD0-4328-860D1CF40E1D,molestie@vulputate.co.uk,"94,413Kr","75,633Kr"
0261E65F-47C9-9C3D-0475-96CE3484EADE,quam.elementum@sagittissemper.ca,"96,837Kr","77,883Kr"
258590A7-B758-C536-BE58-5EF8A4CAF541,Integer@auguemalesuadamalesuada.ca,"43,789Kr","93,959Kr"
FA19ED4E-28FD-5713-8DC2-FE77339644F4,euismod@a.ca,"97,736Kr","04,095Kr"
F5428D9D-2811-80F6-2B7E-85EB538246F3,erat.neque.non@at.net,"83,351Kr","56,125Kr"
35588DBC-4BF1-F561-4A5B-FBA410D2E3B1,arcu.Aliquam@semperegestasurna.ca,"21,967Kr","91,904Kr"
4E95F68D-93F2-4943-F351-192545D9E1E2,ornare.facilisis@tempuseu.com,"79,058Kr","80,507Kr"
C991E7AC-89F7-075E-816C-C15102624D61,luctus@tincidunt.com,"38,182Kr","24,015Kr"
C3CD530A-06B6-7DBE-ADE0-F5781C9F87A5,commodo@netusetmalesuada.net,"68,553Kr","08,315Kr"
25241C4A-3EFD-52DF-47AE-CBFF8FC3CADF,magna.a.tortor@ultricesDuisvolutpat.ca,"40,729Kr","58,675Kr"
F01E80BC-C6AC-5AF7-7746-DF48DF301811,congue.a.aliquet@sit.edu,"77,285Kr","32,722Kr"
24804B05-426C-56E8-1B83-44A6F901C11F,gravida.Praesent@risus.co.uk,"95,337Kr","95,861Kr"
5EDCD7DF-3E13-4B3E-15EC-953228429E5E,Duis@id.com,"02,666Kr","67,437Kr"
D650FA28-8765-A1E4-9810-23A88302B468,Suspendisse.tristique@mollisDuis.com,"49,599Kr","85,655Kr"
7F6F372F-B887-511B-C3AF-DED82FED33BB,pretium@Aenean.co.uk,"88,744Kr","19,177Kr"
F098296F-D9B8-CD33-709D-68A17874A809,Proin.dolor@Integer.net,"58,216Kr","22,349Kr"
424CAC04-50EE-A09D-84FA-A89D6B83717B,habitant.morbi.tristique@Quisquefringillaeuismod.com,"89,765Kr","30,545Kr"
800EB923-A9FE-57CD-E0B7-2695B9138760,nunc.sed.libero@pellentesqueafacilisis.com,"71,321Kr","55,895Kr"
8FDEA6FE-F650-FCF3-D0A8-B11BF78CD106,fringilla.mi.lacinia@malesuadaInteger.com,"26,869Kr","40,244Kr"
92A99357-45E6-3217-6BB0-B0A73707F168,augue.Sed@acturpis.co.uk,"26,125Kr","77,419Kr"
47F8FF0E-0774-891C-075E-A3F048D1CA91,mi.fringilla.mi@metus.ca,"81,645Kr","11,205Kr"
FF047D54-8F6A-81C0-BC8E-45853F78A78A,parturient@sedtortorInteger.co.uk,"59,819Kr","39,628Kr"
BCDFC477-B012-9001-5309-CA6713D591D4,nonummy.Fusce@Infaucibus.ca,"82,988Kr","67,685Kr"
3864B394-5793-1DE1-90C5-3AB783FBB1AE,nec.cursus@sitamet.co.uk,"69,830Kr","72,176Kr"
EB67E62A-7C91-DC71-A1AE-46551DFD1FCF,semper.pretium@auctor.co.uk,"80,679Kr","94,497Kr"
49566537-5F60-1DA9-6E9B-CCE751C0F003,Aliquam@dictumplacerataugue.edu,"49,607Kr","39,616Kr"
8DD02ED3-EE42-8BB9-7829-41C2E8924A1D,lobortis.risus@etmalesuadafames.co.uk,"98,647Kr","16,409Kr"
70B9F431-8E25-6031-DEF9-72791056336A,nulla.Integer.urna@ultricies.co.uk,"58,336Kr","09,127Kr"
DABCD4D4-F278-036E-3655-0C0888CB9BC6,blandit@mauris.edu,"00,619Kr","66,179Kr"
4CBD478E-3549-D7D9-855B-5AF862F8ABAE,fringilla.Donec@egetipsum.edu,"85,209Kr","68,156Kr"
1BB7DA08-5A7C-128E-72F0-1978087DE200,Quisque.imperdiet.erat@nisinibh.edu,"81,768Kr","61,973Kr"
4BDCC63A-56A5-45DF-A534-7EBBCAE1D071,mi@metus.org,"61,974Kr","04,473Kr"
